	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
0	2030	155	我	r	PRON	r	PRON	PRP	13	13	1	79	10.466666666666669	39.16268064823392	6.05922269821167	10.525071144104004	1	5517.999999999999	0.0625	16	-1.0	-1	False	False	10.466666666666669	0.0	39.16268064823392	0.0
1	2031	155	一	m	NUM	m	NUM	CD	12	1	4	1473	9.866666666666667	36.91768621616955	6.233867645263672	6.2179460525512695	1	8489.0	0.125	16	5517.999999999999	1	False	False	9.866666666666667	0.0	36.91768621616955	0.0
2	2032	155	个	q	DET	q	DET		11	1	3	99	78.13333333333334	143.6369806916806	3.936439275741577	26.826942443847656	1	3297.9999999999995	0.1875	16	8489.0	1	False	False	44.06666666666667	34.06666666666667	75.62932999541616	87.39066820255402
3	2033	155	人	n	NOUN	n	NOUN	NN	10	3	2	746	134.2	184.69333140822025	1.3083035945892334	7.50855827331543	1	3557.0000000000005	0.25	16	3297.9999999999995	1	False	False	90.2	44.0	114.89252949314562	93.6254951032748
4	2034	155	费	v	VERB	v	VERB	VV	9	9	1	227	183.9333333333333	137.50562008716426	16.299514770507812	25.657257080078125	1	54.99999999999999	0.3125	16	3557.0000000000005	1	False	False	141.93333333333334	42.0	112.4831641723428	71.71703656268386
5	2035	155	了	u	PART	ul	PART		8	1	2	27	85.13333333333334	132.3217627183408	1.0126571655273438	12.193135261535645	1	13624.0	0.375	16	54.99999999999999	1	False	False	65.0	2.8666666666666667	97.87338759846826	10.726084508751969
6	2036	155	好	a	ADJ	a	ADJ		7	2	3	253	166.86666666666667	139.90752501404475	2.733135938644409	6.501304626464844	1	1325.0	0.4375	16	13624.0	1	False	False	112.2	44.73333333333333	91.50387969916903	101.728047044832
7	2037	155	多	a	ADJ	m	ADJ		6	1	3	555	134.86666666666667	177.79233829261474	1.7092365026474	0.9238095879554749	1	1890.0	0.5	16	1325.0	1	False	False	65.73333333333333	58.0	70.1203410018963	101.49811164089049
8	2038	155	脑筋，	n	NOUN	n	NOUN	NN	5	4	2	93	364.4666666666666	338.27796591297846	15.070675134658812	45.02812743186951	2	10.0	0.5625	16	1890.0	1	False	True	133.2	105.86666666666666	66.51636390142404	142.24901483743997
9	2039	155	为	p	ADP	p	ADP	IN	2	2	1	109	145.66666666666666	126.63473281669432	7.858906745910644	23.92159843444824	1	3062.0000000000005	0.625	16	10.0	2	False	False	125.06666666666666	20.6	105.87191422762804	41.567294836205065
10	2040	155	了	u	PART	ul	PART		1	1	1	27	155.33333333333334	211.76989608744887	0.9000939130783081	9.355413436889648	1	13624.0	0.6875	16	3062.0000000000005	1	False	False	115.0	29.466666666666665	162.646036943214	75.67814890853384
11	2041	155	弄	v	VERB	v	VERB	VV	0	0	0	64	234.4	167.59824979197523	8.319604873657227	14.978349685668944	1	102.0	0.75	16	13624.0	1	False	False	159.2	69.6	100.64405927160662	110.72054913158624
12	2042	155	明白	a	ADJ	nr	ADJ		1	1	1	1431	518.6	424.9837330220221	4.550232298672199	18.39107990264893	2	155.0	0.8125	16	102.0	1	False	False	204.4	126.06666666666666	95.32946379093228	119.96858848141136
13	2043	155	这	r	PRON	r	PRON		2	2	2	60	121.73333333333332	194.10597334674915	3.425611734390259	23.64179229736328	1	6817.0	0.875	16	155.0	2	False	False	78.66666666666667	27.6	105.03184702217172	97.039373452223
14	2044	155	个	q	DET	q	DET		3	1	2	99	29.2	59.23985145153556	1.983180046081543	23.065860748291016	1	3297.9999999999995	0.9375	16	6817.0	1	False	False	29.2	0.0	59.23985145153556	0.0
15	2045	155	问题。	n	NOUN	n	NOUN	NN	4	4	1	103	124.06666666666666	83.73964944331263	8.478649989701807	53.481313705444336	2	1140.9999999999998	1.0	16	3297.9999999999995	1	False	True	112.93333333333334	11.133333333333333	72.93967065702694	30.765492935357884
16	2046	156	其实，	d	ADV	d	ADV	RB	23	13	2	346	241.13333333333333	201.29012781444484	16.225174725055695	42.54318165779114	2	136.0	0.05	20	-1.0	-1	False	True	164.06666666666666	42.8	117.9703164171206	76.76474885431897
17	2047	156	小王子	n	NOUN	nr	NOUN		20	10	2	3047	139.53333333333333	155.56772015927842	18.93871116638184	25.17984223365784	3	0.0	0.1	20	136.0	2	False	False	116.86666666666666	22.666666666666668	119.92323470546576	58.75107564027139
18	2048	156	住	v	VERB	v	VERB	VV	19	9	2	67	81.93333333333334	110.33250754977983	9.87084674835205	10.798745155334473	1	249.0	0.15	20	0.0	3	False	False	81.93333333333334	0.0	110.33250754977983	0.0
19	2049	156	的	u	PART	uj	PART		18	1	3	13	119.0	141.60885094748377	1.6932916641235352	11.40757179260254	1	77946.0	0.2	20	249.0	1	False	False	113.46666666666668	5.533333333333333	132.3892577045266	20.70383754014914
20	2050	156	星球，	n	NOUN	n	NOUN	NN	17	2	3	377	92.33333333333331	78.3425526489631	21.81073808670044	16.212685585021973	2	13.0	0.25	20	77946.0	1	False	True	92.33333333333331	0.0	78.3425526489631	0.0
21	2051	156	和	p	ADP	c	ADP	IN	14	3	3	191	73.33333333333333	127.42457464014632	7.124433994293213	10.184977531433104	1	8786.0	0.3	20	13.0	2	False	False	36.6	36.73333333333333	72.76702549919159	81.74551295874831
22	2052	156	所有	a	ADJ	b	ADJ		13	2	3	553	281.4	197.013975815592	10.499106407165527	12.413145542144775	2	245.0	0.35	20	8786.0	1	False	False	186.86666666666667	64.06666666666666	97.59089210690831	82.95498109751391
