	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
0	1	1	我	r	PRON	r	PRON	PRP	16	1	3	79	21.466666666666665	76.91455576735062	6.059013366699219	10.52426052093506	1	5517.999999999999	0.037037037037037	27	-1.0	-1	False	False	8.733333333333333	12.733333333333333	29.381324378288703	47.64377072492152
1	2	1	六岁	nt	NOUN	m	NOUN		15	2	2	336	283.46666666666664	220.4011090917849	17.969982147216797	42.481316566467285	2	0.0	0.074074074074074	27	5517.999999999999	1	False	False	168.73333333333332	86.66666666666667	124.32884710404991	123.77326941719777
2	3	1	那	r	PRON	r	PRON	PRD	14	1	2	106	188.0	254.086599410516	5.647745132446289	13.382737159729004	1	1800.0	0.1111111111111111	27	0.0	2	False	False	114.86666666666666	58.06666666666667	121.54662571302512	126.91649047919483
3	4	1	年，	nt	NOUN	m	NOUN	NNB	13	13	1	195	213.6	240.073544287301	4.285030901432037	9.904282569885254	1	2305.0	0.1481481481481481	27	1800.0	1	False	True	139.73333333333332	73.86666666666666	115.20848734166924	164.23676675932086
4	5	1	有	v	VERB	v	VERB	VV	10	10	1	482	93.73333333333332	103.13193276359924	6.516574382781982	6.18515157699585	1	5604.000000000001	0.1851851851851851	27	2305.0	1	False	False	81.26666666666667	12.466666666666669	85.70294951491202	46.6459954217818
5	6	1	一	m	NUM	m	NUM	CD	9	1	3	1473	89.8	122.04053971256164	1.951954960823059	3.201478242874145	1	8489.0	0.2222222222222222	27	5604.000000000001	1	False	False	80.46666666666667	9.333333333333334	117.45232602587694	34.92213560989011
6	7	1	次，	q	DET	q	DET		8	2	2	56	240.7333333333333	213.44053556487864	8.805750250816345	10.393206119537354	1	714.9999999999999	0.2592592592592592	27	8489.0	1	False	True	159.93333333333334	37.2	101.30907604399955	65.96180713109669
7	8	1	在	p	ADP	p	ADP	IN	5	3	2	175	65.06666666666666	115.39755437423946	3.423952341079712	9.931962966918944	1	12434.0	0.2962962962962963	27	714.9999999999999	1	False	False	47.0	18.066666666666663	83.30826289550555	67.59927678771588
8	9	1	一	m	NUM	m	NUM	CD	4	2	2	1473	119.46666666666668	198.62220979090483	5.869141578674316	6.8245954513549805	1	8489.0	0.3333333333333333	27	12434.0	1	False	False	77.66666666666667	41.8	141.54418234443816	83.69882516101008
9	10	1	本	q	DET	r	DET		3	1	2	284	124.26666666666668	115.64339823593716	6.992859840393066	9.911296844482422	1	431.0	0.3703703703703703	27	8489.0	1	False	False	107.06666666666666	10.8	104.1668319998688	40.40989977715856
10	11	1	书	n	NOUN	n	NOUN		2	2	1	242	91.53333333333332	133.68862662503827	1.5576523542404177	23.045066833496094	1	244.00000000000003	0.4074074074074074	27	431.0	1	False	False	76.86666666666666	14.666666666666666	114.82674872268318	54.87764167268447
11	12	1	里	nd	NOUN	f	NOUN	NN	1	1	2	334	146.53333333333333	129.83213093153103	2.567984342575073	13.578214645385742	1	1968.0	0.4444444444444444	27	244.00000000000003	1	False	False	117.26666666666668	29.266666666666666	86.61752452913646	74.82999992575765
12	13	1	看见	v	VERB	v	VERB	VV	0	0	0	252	94.86666666666666	155.16351232024735	4.231348156929016	34.33250141143799	2	260.0	0.4814814814814814	27	1968.0	1	False	False	58.333333333333336	26.4	84.85412318928422	54.64772029401897
13	14	1	一	m	NUM	m	NUM	CD	1	5	2	1473	42.73333333333333	77.82070561375181	2.673003911972046	6.638757228851318	1	8489.0	0.5185185185185185	27	260.0	2	False	False	42.73333333333333	0.0	77.82070561375181	0.0
14	15	1	幅	q	DET	n	DET		2	4	2	7	34.46666666666667	75.43904087996405	7.236800670623779	9.344022750854492	1	103.0	0.5555555555555556	27	8489.0	1	False	False	34.46666666666667	0.0	75.43904087996405	0.0
15	16	1	很	d	ADV	zg	ADV	RB	3	1	3	10	168.13333333333333	148.7032242047525	6.264894485473633	15.451004028320312	1	1754.9999999999998	0.5925925925925926	27	103.0	1	False	False	124.6	38.06666666666667	109.03076018567728	76.42204452177978
16	17	1	棒	a	ADJ	zg	ADJ		4	2	2	30	223.4	191.9784015629536	8.43149471282959	10.469011306762695	1	27.000000000000004	0.6296296296296297	27	1754.9999999999998	1	False	False	164.6	44.333333333333336	107.86398842987406	90.31623454408526
17	18	1	的	u	PART	uj	PART		5	1	3	13	58.333333333333336	90.54624355666128	0.0629594102501869	6.321301460266113	1	77946.0	0.6666666666666666	27	27.000000000000004	1	False	False	58.333333333333336	0.0	90.54624355666128	0.0
18	19	1	图画，	n	NOUN	n	NOUN	NN	6	6	1	404	79.2	96.6320857686514	8.52710223197937	49.493194341659546	2	25.0	0.7037037037037037	27	77946.0	1	False	True	79.2	0.0	96.6320857686514	0.0
19	20	1	那	r	PRON	r	PRON	PRD	7	2	3	106	12.4	46.39655159599686	5.442624092102051	12.267309188842772	1	1800.0	0.7407407407407407	27	25.0	2	False	False	12.4	0.0	46.39655159599686	0.0
20	21	1	本	q	DET	r	DET		8	1	3	284	82.46666666666667	117.93945716152656	6.060470581054688	8.105877876281738	1	431.0	0.7777777777777778	27	1800.0	1	False	False	82.46666666666667	0.0	117.93945716152656	0.0
21	22	1	书	n	NOUN	n	NOUN		9	9	2	242	256.7333333333333	228.02791252144743	0.1742872148752212	16.593515396118164	1	244.00000000000003	0.8148148148148148	27	431.0	1	False	False	214.26666666666668	42.46666666666667	164.94219862997124	93.4978549961917
22	23	1	叫	v	VERB	v	VERB	VV	10	8	2	42	83.13333333333334	97.18838522283528	3.2960667610168457	7.394793033599853	1	658.0	0.8518518518518519	27	244.00000000000003	1	False	False	83.13333333333334	0.0	97.18838522283528	0.0
23	24	1	《亲身经历的故事》，	n	NOUN	-	NOUN		11	1	3	1029	1159.5333333333333	831.9579209444563	34.19468522001989	111.8011648505926	7	0.0	0.8888888888888888	27	658.0	1	True	True	166.4	186.26666666666668	54.23504402137055	102.585552372425
24	25	1	写	v	VERB	v	VERB	VV	12	12	1	64	55.46666666666667	120.04602820955336	8.061727523803711	23.847389221191406	1	346.0	0.925925925925926	27	0.0	7	False	False	46.86666666666667	8.6	95.70431315022095	32.17825352625589
25	26	1	原始	a	ADJ	v	ADJ	JJ	13	1	3	272	585.8	329.5484182938829	19.39491081237793	16.158007621765137	2	97.0	0.9629629629629628	27	346.0	1	False	False	284.4	166.4	213.53931722284776	106.91791243753312
26	27	1	森林。	n	NOUN	n	NOUN	NN	14	2	2	626	284.4	176.4070293384025	12.222350500524044	18.9449175298214	2	89.99999999999999	1.0	27	97.0	2	False	True	224.2	60.2	135.48539896731802	111.35840037165283
27	28	2	那	r	PRON	r	PRON	PRD	11	2	2	106	102.93333333333334	145.72827072633808	9.112680435180664	12.48245620727539	1	1800.0	0.0769230769230769	13	-1.0	-1	False	False	88.53333333333333	14.4	110.65011924480194	53.87986636954476
28	29	2	幅	q	DET	n	DET		10	1	2	7	162.66666666666666	104.74455700523164	12.110673904418944	11.804162979125977	1	103.0	0.1538461538461538	13	1800.0	1	False	False	143.33333333333334	19.33333333333333	80.53625822503109	72.33870947762955
29	30	2	图画	n	NOUN	n	NOUN	NN	9	9	1	404	177.8	162.77067712992206	8.891371488571167	50.3788013458252	2	25.0	0.2307692307692307	13	103.0	1	False	False	138.46666666666667	33.733333333333334	97.94615300709307	79.72491594365103
30	31	2	上，	nd	NOUN	f	NOUN	NN	8	1	2	940	36.93333333333333	74.21452388552767	12.84483814239502	13.59736394882202	1	3985.0	0.3076923076923077	13	25.0	2	False	True	36.93333333333333	0.0	74.21452388552767	0.0
31	32	2	一	m	NUM	m	NUM	CD	5	3	2	1473	83.86666666666666	106.82251115232634	4.961357593536377	5.800396919250488	1	8489.0	0.3846153846153846	13	3985.0	1	False	False	75.13333333333334	8.733333333333333	94.22516766884642	32.67714117782575
32	33	2	条	q	DET	n	DET		4	2	2	74	87.8	172.7032908391345	5.351862907409668	23.43982696533203	1	681.0	0.4615384615384615	13	8489.0	1	False	False	64.8	23.0	112.30862240570252	86.05811989580066
33	34	2	大	a	ADJ	a	ADJ		3	1	2	2294	161.13333333333333	194.4019432916131	5.263103008270264	7.216887474060059	1	2188.0	0.5384615384615384	13	681.0	1	False	False	139.53333333333333	21.6	161.82000975020227	80.81979955431711
34	35	2	蟒蛇	n	NOUN	n	NOUN		2	2	1	47	360.4	185.5409388787283	7.030738815665245	15.956223487854004	2	0.0	0.6153846153846154	13	2188.0	1	False	False	188.9333333333333	115.26666666666668	86.61290640288868	124.66513368041426
35	36	2	正在	d	ADV	t	ADV		1	1	1	589	274.3333333333333	248.3754326731119	8.585549712181091	17.083635330200195	2	264.0	0.6923076923076923	13	0.0	2	False	False	120.06666666666666	103.46666666666668	105.7162659617189	105.61746488573228
36	37	2	吞吃	v	VERB	-	VERB	VV	0	0	0	151	362.8666666666667	229.7081820242564	13.65834379196167	22.425132751464844	2	0.0	0.7692307692307693	13	264.0	2	False	False	176.06666666666666	86.33333333333333	87.4310903257849	95.59962807923937
37	38	2	一	m	NUM	m	NUM	CD	1	2	2	1473	102.46666666666668	125.08176881100174	6.424503803253174	6.822650909423828	1	8489.0	0.8461538461538461	13	0.0	2	False	False	89.8	3.066666666666667	95.19537803906238	11.474415986106752
38	39	2	头	q	DET	n	DET		2	1	2	181	243.9333333333333	163.6465568093492	7.526345252990723	23.114402770996094	1	443.0	0.9230769230769232	13	8489.0	1	False	False	183.53333333333333	60.4	116.47824785006952	81.11539105907502
39	40	2	猛兽。	n	NOUN	n	NOUN	NN	3	3	1	98	460.6	358.27304299002645	10.79826843738556	39.269410610198975	2	0.0	1.0	13	443.0	1	False	True	168.86666666666667	130.86666666666667	114.29544561743872	111.4102728157906
40	41	3	书	n	NOUN	n	NOUN		2	2	1	242	85.53333333333333	85.98206531338704	5.93670129776001	23.420970916748047	1	244.00000000000003	0.03125	32	-1.0	-1	False	False	85.53333333333333	0.0	85.98206531338704	0.0
41	42	3	里	nd	NOUN	f	NOUN	NN	1	1	2	334	172.33333333333334	207.4260242967491	6.86683464050293	13.679051399230955	1	1968.0	0.0625	32	244.00000000000003	1	False	False	115.8	37.6	130.7527947438728	103.7958252211202
42	43	3	写	v	VERB	v	VERB	VV	0	0	0	64	181.66666666666663	197.9359043281997	6.939815044403076	26.43421936035156	1	346.0	0.09375	32	1968.0	1	False	False	144.06666666666666	37.6	135.3545796130379	84.61426199721494
43	44	3	着：	u	AUX	uz	AUX	AS	1	1	1	49	97.46666666666668	105.25389409528856	15.029255867004396	29.851438522338867	1	4303.0	0.125	32	346.0	1	False	True	88.6	8.866666666666667	91.1246764969109	33.17602882939561
44	45	3	“大	a	ADJ	a	ADJ		2	1	3	2294	199.26666666666668	260.90342189315106	20.040745735168457	16.14126682281494	1	2188.0	0.15625	32	4303.0	1	True	False	99.0	73.13333333333334	111.18393169278852	119.4776780639612
45	46	3	蟒蛇	n	NOUN	n	NOUN		3	10	2	47	207.46666666666667	132.17153837175218	17.3793842792511	17.211429595947266	2	0.0	0.1875	32	2188.0	1	False	False	135.8	63.8	95.01031522945284	70.67408766066008
46	47	3	把	p	ADP	p	ADP	BB	4	1	4	41	50.86666666666667	114.58846170341738	12.14653778076172	14.133467674255373	1	3113.0000000000005	0.21875	32	0.0	2	False	False	46.2	4.666666666666667	99.95078789084155	17.461067804945053
47	48	3	猎物	n	NOUN	n	NOUN	NN	5	2	3	180	467.0	309.92687309535887	11.322641849517822	38.47765254974365	2	0.0	0.25	32	3113.0000000000005	1	False	False	257.3333333333333	143.46666666666667	128.95408312866851	198.0730056205428
48	49	3	整个	a	ADJ	b	ADJ		6	1	3	220	285.1333333333333	214.41388843905503	11.674180507659912	33.27958583831787	2	296.00000000000006	0.28125	32	0.0	2	False	False	175.8	67.73333333333333	117.95716736736829	74.67749921421371
49	50	3	吞下，	v	VERB	v	VERB	VV	7	6	2	459	120.26666666666668	136.43873676082202	9.014438033103945	25.37820553779602	2	5.999999999999999	0.3125	32	296.00000000000006	2	False	True	73.33333333333333	39.266666666666666	73.51885623581356	71.8558433408322
50	51	3	嚼	v	VERB	v	VERB	VV	8	3	2	8	94.06666666666666	138.50221017089302	11.919986724853516	17.0567569732666	1	11.999999999999998	0.34375	32	5.999999999999999	2	False	False	81.93333333333334	12.133333333333333	119.80732680247714	45.39877629285716
51	52	3	都	d	ADV	d	ADV	RB	9	2	2	74	376.4666666666666	332.46571084683137	10.036391258239746	12.30510425567627	1	3592.0	0.375	32	11.999999999999998	1	False	False	231.26666666666668	78.73333333333333	159.98144336835514	140.9068092353556
52	53	3	不	d	ADV	d	ADV	RB	10	1	2	1105	299.26666666666665	280.2528540839901	5.701828956604004	7.471159934997559	1	4915.0	0.40625	32	3592.0	1	False	False	203.3333333333333	74.06666666666666	189.77062177504948	96.24584262305682
53	54	3	嚼。	v	VERB	v	VERB	VV	11	11	1	8	111.0	168.28864093178322	7.522274971008301	13.026783227920532	1	11.999999999999998	0.4375	32	4915.0	1	False	True	83.46666666666667	27.53333333333333	135.1694574311158	70.8603007488835
54	56	3	然后，	c	CCONJ	c	CCONJ		12	10	2	297	497.2	501.99776891934494	14.60980585217476	35.18712854385376	2	284.0	0.46875	32	11.999999999999998	1	False	True	141.86666666666667	156.13333333333333	72.93820824658516	141.77205491758787
55	57	3	它	r	PRON	r	PRON	PRP	13	7	2	3	216.66666666666663	270.8846412938336	4.565483093261719	12.152425765991213	1	2202.0	0.5	32	284.0	2	False	False	114.26666666666668	53.93333333333333	115.07300098439926	111.32802382549008
56	58	3	动弹	v	VERB	n	VERB	VV	14	6	2	310	452.4666666666666	280.33714622852887	18.67337846755981	47.64252281188965	2	7.0	0.53125	32	2202.0	1	False	False	216.13333333333333	149.2	106.34840018647306	103.56331396783324
57	59	3	不	d	ADV	d	ADV	RB	15	5	2	1105	139.06666666666666	143.68598478008295	3.11832332611084	9.532940864562988	1	4915.0	0.5625	32	7.0	2	False	False	110.06666666666666	29.0	120.77884288603236	76.38062581571324
58	60	3	了，	u	PART	ul	PART	AS	16	4	2	27	107.86666666666666	116.13605048486116	8.360419154167175	13.622982501983644	1	13624.0	0.59375	32	4915.0	1	False	True	95.53333333333332	12.333333333333334	88.56550620240867	46.14710777021194
