	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
0	2622	146	「噉	CCONJ	CCONJ	zg	CCONJ	CC	2	1	2	3	84.6	121.53397330239255	22.357638359069824	20.729568481445312	1	0.41414	0.0625	16	-1.0	-1	True	False	76.2	8.4	118.97742082709084	31.4299220489011
1	2623	146	我	PRON	PRON	r	PRON	PRP	1	1	1	704	183.86666666666667	199.2468708802112	9.356000900268556	8.058550834655762	1	49930.23889	0.125	16	0.41414	1	False	False	101.86666666666666	58.266666666666666	93.72290126869858	107.6899665191186
2	2624	146	諗	VERB	VERB	x	VERB		0	0	0	6	202.66666666666663	131.01077139770692	14.694894790649414	9.014187812805176	1	1926.55805	0.1875	16	49930.23889	1	False	False	179.26666666666668	23.4	109.76427267355966	60.89969895929973
3	2625	146	佢哋	PRON	PRON	-	PRON		1	2	2	2	308.53333333333336	224.84005178990884	8.89883017539978	9.127079963684082	2	0.0	0.25	16	1926.55805	1	False	False	202.26666666666668	56.53333333333333	113.48037520010035	105.63387503805563
4	2626	146	要	AUX	AUX	v	AUX	MD	2	1	2	109	161.26666666666668	196.2048136231344	11.726814270019531	6.403246402740479	1	3311.42695	0.3125	16	0.0	2	False	False	92.53333333333332	68.73333333333333	105.46902652227124	128.7050719884634
5	2627	146	疊羅漢	VERB	VERB	ns	VERB		3	3	1	15	626.6666666666666	489.1026704304754	40.42465782165527	37.91493701934815	3	0.0	0.375	16	3311.42695	1	False	False	190.86666666666667	211.53333333333333	104.04669891714757	155.02123152078954
6	2628	146	噉	CCONJ	CCONJ	zg	CCONJ	CC	4	3	5	3	146.86666666666667	213.14310268507924	8.6824369430542	9.68783950805664	1	0.41414	0.4375	16	0.0	3	False	False	113.13333333333334	33.733333333333334	152.8262048501136	88.75018622828664
7	2629	146	一	NUM	NUM	m	NUM	CD	5	1	6	871	104.4	139.58261591855435	9.02368450164795	6.5895514488220215	1	4153.77843	0.5	16	0.41414	1	False	False	93.2	11.2	127.40026164285013	41.90656273186814
8	2630	146	隻	NOUN	DET	x	DET	NNB	6	1	5	1	37.2	88.33210062032941	10.396974563598633	7.002288818359375	1	2023.87988	0.5625	16	4153.77843	1	False	False	37.2	0.0	88.33210062032941	0.0
9	2631	146	疊	NOUN	NOUN	x	NOUN		7	2	4	3	138.6	128.39927310282303	9.891573905944824	12.561676025390623	1	22.77745	0.625	16	2023.87988	1	False	False	123.8	10.266666666666667	115.56250833783996	38.41434917087913
