	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
0	1	1	六	NUM	NUM	m	NUM	CD	17	1	3	41	49.266666666666666	115.35248395919162	11.593278884887695	11.06442642211914	1	77.02919	0.0555555555555555	18	-1.0	-1	False	False	49.266666666666666	0.0	115.35248395919162	0.0
1	2	1	歲	NOUN	NOUN	zg	NOUN	NNB	16	2	2	4	208.2	220.6128433855714	14.535446166992188	5.834139823913574	1	231.50171	0.1111111111111111	18	77.02919	1	False	False	121.06666666666666	64.13333333333334	116.83519256723216	130.91924567797088
2	3	1	嗰	PRON	PRON	x	PRON		15	1	2	1	170.4	142.43164442403005	14.662120819091797	5.592357158660889	1	2040.85943	0.1666666666666666	18	231.50171	1	False	False	148.73333333333332	21.666666666666668	127.83190351221228	56.14465444031358
3	4	1	年	NOUN	NOUN	m	NOUN	NNB	14	14	1	37	94.53333333333332	122.4270485726999	5.925736904144287	5.719855308532715	1	458.86206	0.2222222222222222	18	2040.85943	1	False	False	81.6	12.933333333333334	98.42479362437088	48.39210220227631
4	5	1	，我	PRON	PRON	r	PRON	PRP	11	11	1	704	98.8	87.87885600833305	10.68751096725464	13.557375431060793	1	49930.23889	0.2777777777777778	18	458.86206	1	True	False	87.2	11.6	76.69524105184104	32.51420202516638
5	6	1	喺	ADP	ADP	x	ADP	IN	10	3	4	1	122.46666666666668	162.82541434172848	9.11475658416748	5.14148473739624	1	2703.06199	0.3333333333333333	18	49930.23889	1	False	False	78.2	44.266666666666666	92.82470935406512	119.04535083553476
6	7	1	一	NUM	NUM	m	NUM	CD	9	1	5	871	186.06666666666663	153.67865463000672	5.726480007171631	6.182994365692139	1	4153.77843	0.3888888888888889	18	2703.06199	1	False	False	104.0	64.26666666666667	94.36666077946526	89.93661965826577
7	8	1	本	NOUN	DET	r	DET		8	1	4	54	142.6	148.03684226119748	7.177327632904053	6.6385908126831055	1	89.45325	0.4444444444444444	18	4153.77843	1	False	False	127.93333333333334	14.666666666666666	139.4467480996081	38.96437118987321
8	9	1	書	NOUN	NOUN	zg	NOUN	NN	7	1	3	35	152.46666666666667	207.04262577761344	1.9520264863967896	3.889104843139648	1	139.56364	0.5	18	89.45325	1	False	False	104.13333333333334	38.66666666666666	143.64069370790747	104.38560990651708
9	10	1	入	VERB	NOUN	v	NOUN		6	2	2	83	61.8	100.05012077287395	10.953531265258787	4.852245330810547	1	557.4263	0.5555555555555556	18	139.56364	1	False	False	61.8	0.0	100.05012077287395	0.0
10	11	1	面	NOUN	NOUN	n	NOUN		5	1	3	96	93.2	125.26090105588948	7.2297444343566895	0.8422829508781433	1	398.81243	0.6111111111111112	18	557.4263	1	False	False	80.06666666666666	13.133333333333333	102.69142558601904	49.1404336796311
11	12	1	見	VERB	VERB	x	VERB	VV	4	4	1	44	138.86666666666667	171.2883987769036	7.555124759674072	9.663152694702148	1	2073.99027	0.6666666666666666	18	398.81243	1	False	False	109.46666666666668	24.0	119.31854656990906	62.82356245868265
12	13	1	過	PART	PART	zg	PART	UH	3	1	2	299	127.8	162.72397897462236	4.69379186630249	2.981040000915528	1	1039.06581	0.7222222222222222	18	2073.99027	1	False	False	116.2	11.6	150.0396392068887	43.40322568657773
13	14	1	幅	PROPN	DET	n	DET		2	2	2	7	122.8	126.54759315503924	17.975717544555664	15.343942642211914	1	15.73715	0.7777777777777778	18	1039.06581	1	False	False	122.8	0.0	126.54759315503924	0.0
14	15	1	好	ADV	ADV	a	ADV	RB	1	1	1	312	137.0	150.65589932027223	7.514736652374268	10.204687118530272	1	10788.64225	0.8333333333333334	18	15.73715	1	False	False	111.46666666666668	25.53333333333333	92.6778410528764	95.53698527562798
15	16	1	得人驚	ADJ	ADJ	-	ADJ		0	0	0	409	501.1333333333333	291.1194180324554	28.32191514968872	24.68706321716309	3	16.56542	0.8888888888888888	18	10788.64225	1	False	False	246.3333333333333	134.33333333333334	102.32540685914172	101.50971491548096
16	17	1	嘅	PART	PART	x	PART		1	1	2	1	125.66666666666669	126.91712081337	7.932084083557129	3.459212303161621	1	15735.49004	0.9444444444444444	18	16.56542	3	False	False	124.26666666666668	1.4	127.65916427042058	5.238320341483518
17	18	1	圖畫	NOUN	NOUN	n	NOUN	NN	2	2	1	65	176.4	172.52431712660103	15.062061786651611	15.379163265228271	2	1.24241	1.0	18	15735.49004	1	False	False	132.0	44.4	129.67240775636634	80.41873745174898
18	19	2	。嗰	PRON	PRON	x	PRON		11	1	3	1	187.6	273.5077817296368	18.90847587585449	11.730931282043455	1	2040.85943	0.1	10	-1.0	-1	True	False	140.2	25.266666666666666	156.06374765887605	65.43644923808817
19	20	2	本	NOUN	DET	r	DET		10	1	2	54	71.6	131.86144243106094	11.467531204223633	11.74288558959961	1	89.45325	0.2	10	2040.85943	1	False	False	71.6	0.0	131.86144243106094	0.0
20	21	2	書	NOUN	NOUN	zg	NOUN	NN	9	9	1	35	16.733333333333334	42.67156221914336	5.540096282958984	1.2710371017456057	1	139.56364	0.3	10	89.45325	1	False	False	16.733333333333334	0.0	42.67156221914336	0.0
21	22	2	叫做	VERB	VERB	v	VERB	VV	8	8	1	104	267.6666666666667	189.1210077055312	12.446030497550964	10.689793586730955	2	104.36213	0.4	10	139.56364	1	False	False	146.8	69.33333333333333	89.24438357678314	72.01635616688445
22	23	2	《真實故事》	NOUN	NOUN	-	NOUN		5	1	2	207	542.0666666666667	405.8013416548656	29.404123036190867	23.492662891745567	4	0.0	0.5	10	104.36213	2	True	True	164.33333333333334	145.26666666666668	74.85244744755438	112.73418095482646
