	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
0	2030	155	我	r	PRON	r	PRON	PRP	13	13	1	79	10.466666666666669	39.16268064823392	1	5517.999999999999	我	10.466666666666669	0.0	39.16268064823392	0.0
1	2031	155	一	m	NUM	m	NUM	CD	12	1	4	1473	9.866666666666667	36.91768621616955	1	8489.0	一	9.866666666666667	0.0	36.91768621616955	0.0
2	2032	155	个	q	DET	q	DET		11	1	3	99	78.13333333333334	143.6369806916806	1	3297.9999999999995	个	44.06666666666667	34.06666666666667	75.62932999541614	87.39066820255402
3	2033	155	人	n	NOUN	n	NOUN	NN	10	3	2	746	134.2	184.69333140822025	1	3557.0000000000005	人	90.2	44.0	114.89252949314562	93.6254951032748
4	2034	155	费	v	VERB	v	VERB	VV	9	9	1	227	183.9333333333333	137.5056200871643	1	54.99999999999999	费	141.93333333333334	42.0	112.4831641723428	71.71703656268386
5	2035	155	了	u	PART	ul	PART		8	1	2	27	85.13333333333334	132.32176271834084	1	13624.0	了	65.0	2.8666666666666667	97.87338759846826	10.726084508751969
6	2036	155	好	a	ADJ	a	ADJ		7	2	3	253	166.86666666666667	139.90752501404475	1	1325.0	好	112.2	44.73333333333333	91.50387969916903	101.72804704483202
7	2037	155	多	a	ADJ	m	ADJ		6	1	3	555	134.86666666666667	177.79233829261472	1	1890.0	多	65.73333333333333	58.0	70.1203410018963	101.49811164089049
8	2038	155	脑筋，	n	NOUN	n	NOUN	NN	5	4	2	93	364.4666666666666	338.27796591297846	2	10.0	脑筋	133.2	105.86666666666666	66.51636390142404	142.24901483744
9	2039	155	为	p	ADP	p	ADP	IN	2	2	1	109	145.66666666666666	126.63473281669432	1	3062.0000000000005	为	125.06666666666666	20.6	105.87191422762804	41.567294836205065
10	2040	155	了	u	PART	ul	PART		1	1	1	27	155.33333333333334	211.7698960874489	1	13624.0	了	115.0	29.466666666666665	162.646036943214	75.67814890853386
11	2041	155	弄	v	VERB	v	VERB	VV	0	0	0	64	234.4	167.59824979197523	1	102.0	弄	159.2	69.6	100.64405927160662	110.72054913158624
12	2042	155	明白	a	ADJ	nr	ADJ		1	1	1	1431	518.6	424.9837330220221	2	155.0	明白	204.4	126.06666666666666	95.32946379093228	119.96858848141136
13	2043	155	这	r	PRON	r	PRON		2	2	2	60	121.73333333333332	194.10597334674912	1	6817.0	这	78.66666666666667	27.6	105.03184702217176	97.039373452223
14	2044	155	个	q	DET	q	DET		3	1	2	99	29.2	59.23985145153557	1	3297.9999999999995	个	29.2	0.0	59.23985145153557	0.0
