	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
0	3941	291	我	r	PRON	r	PRON	PRP	13	13	1	79	24.571428571428573	60.41962108657168	1	5517.999999999999	我	24.571428571428573	0.0	60.41962108657168	0.0
1	3942	291	一	m	NUM	m	NUM	CD	12	1	4	1473	46.0	117.80916772475732	1	8489.0	一	26.428571428571427	19.571428571428573	67.43855858241241	50.3824151376454
2	3943	291	个	q	DET	q	DET		11	1	3	99	45.785714285714285	77.92320264339808	1	3297.9999999999995	个	45.785714285714285	0.0	77.92320264339808	0.0
3	3944	291	人	n	NOUN	n	NOUN	NN	10	3	2	746	65.14285714285714	117.69079169153208	1	3557.0000000000005	人	65.14285714285714	0.0	117.69079169153208	0.0
4	3945	291	费	v	VERB	v	VERB	VV	9	9	1	227	127.14285714285714	178.10945957987954	1	54.99999999999999	费	86.14285714285714	41.0	94.7989279195386	106.90449676496976
5	3946	291	了	u	PART	ul	PART		8	1	2	27	80.07142857142857	150.39636407350616	1	13624.0	了	61.0	19.071428571428573	93.67268240298998	68.76301361063464
6	3947	291	好	a	ADJ	a	ADJ		7	2	3	253	113.14285714285714	170.48999013048797	1	1325.0	好	77.35714285714286	18.857142857142858	81.96742135303091	67.9903954801781
7	3948	291	多	a	ADJ	m	ADJ		6	1	3	555	102.21428571428572	236.934342493994	1	1890.0	多	54.42857142857143	10.071428571428571	88.6411016287545	36.31305213145874
8	3949	291	脑筋，	n	NOUN	n	NOUN	NN	5	4	2	93	352.0	449.148082485053	2	10.0	脑筋	140.0	111.57142857142856	104.28326807307106	141.0383505523608
9	3950	291	为	p	ADP	p	ADP	IN	2	2	1	109	94.21428571428572	97.89073980094086	1	3062.0000000000005	为	94.21428571428572	0.0	97.89073980094086	0.0
10	3951	291	了	u	PART	ul	PART		1	1	1	27	119.07142857142856	149.4602021971613	1	13624.0	了	99.92857142857144	19.142857142857142	123.6940143405228	50.415214742684775
11	3952	291	弄	v	VERB	v	VERB	VV	0	0	0	64	158.85714285714286	190.06572440036825	1	102.0	弄	131.07142857142858	27.785714285714285	154.3176058309218	100.18281758253512
12	3953	291	明白	a	ADJ	nr	ADJ		1	1	1	1431	465.2142857142857	854.8295718672672	2	155.0	明白	146.14285714285714	91.5	128.39328928995425	150.53179540738702
13	3954	291	这	r	PRON	r	PRON		2	2	2	60	131.07142857142858	144.36336312321384	1	6817.0	这	118.35714285714286	12.714285714285714	129.7737631104097	45.84200907375643
14	3955	291	个	q	DET	q	DET		3	1	2	99	90.0	141.88979627060675	1	3297.9999999999995	个	63.142857142857146	13.642857142857142	111.242243481035	49.19002097240156
15	3956	291	问题。	n	NOUN	n	NOUN	NN	4	4	1	103	158.28571428571428	245.30401795423123	2	1140.9999999999998	问题	116.57142857142856	25.5	113.970368508482	91.94155752433171
16	3957	292	其实，	d	ADV	d	ADV	RB	23	13	2	346	209.0	208.1191279737916	2	136.0	其实	172.71428571428572	24.071428571428573	141.86937078646304	47.48302596825565
17	3958	292	小王子	n	NOUN	nr	NOUN		20	10	2	3047	79.75	119.71495162617384	3	0.0	小王子	66.75	13.0	86.60351980639784	46.87216658103186
18	3959	292	住	v	VERB	v	VERB	VV	19	9	2	67	133.85714285714286	149.76355514269682	1	249.0	住	124.5	9.357142857142858	134.1186841143747	33.737658363270185
19	3960	292	的	u	PART	uj	PART		18	1	3	13	40.35714285714285	66.58464767589034	1	77946.0	的	40.35714285714285	0.0	66.58464767589034	0.0
