	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
0	3957	291	我	r	PRON	r	PRON	PRP	13	13	1	79	23.666666666666668	61.35760389353185	1	5517.999999999999	我	23.666666666666668	0.0	61.35760389353185	0.0
1	3958	291	一	m	NUM	m	NUM	CD	12	1	4	1473	44.266666666666666	62.93961833023421	1	8489.0	一	44.266666666666666	0.0	62.93961833023421	0.0
2	3959	291	个	q	DET	q	DET		11	1	3	99	141.46666666666667	255.74671497835945	1	3297.9999999999995	个	84.06666666666666	11.866666666666667	93.41196687553236	44.40100098971743
3	3960	291	人	n	NOUN	n	NOUN	NN	10	3	2	746	216.53333333333333	224.93254297430795	1	3557.0000000000005	人	150.73333333333332	47.66666666666666	122.9040095178166	105.1916768993103
4	3961	291	费	v	VERB	v	VERB	VV	9	9	1	227	259.1333333333333	338.37924811600897	1	54.99999999999999	费	121.66666666666669	66.66666666666667	118.00828596143388	111.63133769491232
5	3962	291	了	u	PART	ul	PART		8	1	2	27	245.46666666666667	191.1927009299489	1	13624.0	了	130.0	91.13333333333334	98.81632793555256	139.8255420952203
6	3963	291	好	a	ADJ	a	ADJ		7	2	3	253	303.3333333333333	332.38244371339607	1	1325.0	好	120.53333333333332	71.46666666666667	75.99461969259549	111.66907460090384
7	3964	291	多	a	ADJ	m	ADJ		6	1	3	555	188.53333333333333	220.58070833345536	1	1890.0	多	124.26666666666668	64.26666666666667	129.06766528539293	115.59669353210566
8	3965	291	脑筋，	n	NOUN	n	NOUN	NN	5	4	2	93	307.7333333333333	316.33768174039733	2	10.0	脑筋	146.2	88.46666666666667	127.28037293052428	137.43695120147112
9	3966	291	为	p	ADP	p	ADP	IN	2	2	1	109	49.6	110.8493271668048	1	3062.0000000000005	为	34.733333333333334	14.866666666666667	76.61372084830641	41.38416229536233
10	3967	291	了	u	PART	ul	PART		1	1	1	27	301.8	433.2788478566661	1	13624.0	了	150.0	75.06666666666666	89.01685233707154	148.89211605126116
11	3968	291	弄	v	VERB	v	VERB	VV	0	0	0	64	222.6	433.8046872345511	1	102.0	弄	114.33333333333331	43.0	146.11715238883568	92.17447224331328
12	3969	291	明白	a	ADJ	nr	ADJ		1	1	1	1431	316.4	254.45596868613632	2	155.0	明白	137.13333333333333	106.06666666666666	87.85204734223456	127.00890607442544
13	3970	291	这	r	PRON	r	PRON		2	2	2	60	183.7333333333333	230.6600577087897	1	6817.0	这	104.6	56.333333333333336	102.66956705859825	117.13449060327572
14	3971	291	个	q	DET	q	DET		3	1	2	99	95.53333333333332	204.51368875674044	1	3297.9999999999995	个	75.0	20.53333333333333	134.84212991494906	76.82869834175825
15	3972	291	问题。	n	NOUN	n	NOUN	NN	4	4	1	103	214.7333333333333	160.36935146370357	2	1140.9999999999998	问题	146.53333333333333	68.2	107.68649972128458	84.56886740008602
16	3973	292	其实，	d	ADV	d	ADV	RB	23	13	2	346	341.1333333333333	335.47337036227214	2	136.0	其实	165.0	81.6	118.61815487802306	119.23690703804756
17	3974	292	小王子	n	NOUN	nr	NOUN		20	10	2	3047	150.7	167.09316762413314	3	0.0	小王子	119.36666666666666	15.866666666666667	97.1367535430791	59.3676305368132
18	3975	292	住	v	VERB	v	VERB	VV	19	9	2	67	189.46666666666667	137.00796408319562	1	249.0	住	181.8	7.666666666666667	124.21980518419758	28.68603996526688
19	3976	292	的	u	PART	uj	PART		18	1	3	13	91.73333333333332	121.00824581637218	1	77946.0	的	79.26666666666667	10.533333333333331	104.98854964021344	31.870292680732565
20	3977	292	星球，	n	NOUN	n	NOUN	NN	17	2	3	377	148.26666666666668	155.50239726626583	2	13.0	星球	104.46666666666668	28.6	99.97124030884528	52.24149053514202
