	WORD	SENTENCE	IA_LABEL	TOTAL_DURATION	STD_TOTAL_DURATION	n_in_sent	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
0	1	1	六	18.266666666666666	46.74393602977349	0	NUM	NUM	m	NUM	CD	17	1	3	41	1	77.02919	六	18.266666666666666	0.0	46.74393602977349	0.0
1	2	1	歲	200.86666666666667	152.4112273496353	1	NOUN	NOUN	zg	NOUN	NNB	16	2	2	4	1	231.50171	歲	150.13333333333333	26.466666666666665	119.6794979193271	58.287639246146256
2	3	1	嗰	216.8	169.15129322591653	2	PRON	PRON	x	PRON		15	1	2	1	1	2040.85943	嗰	152.13333333333333	50.53333333333333	108.74426677096848	99.41017162354274
3	4	1	年，	102.2	126.79074624487914	3	NOUN	NOUN	m	NOUN	NNB	14	14	1	37	1	458.86206	年	75.46666666666667	26.73333333333333	76.11032927416767	73.38525434687513
4	5	1	我	72.13333333333334	127.39223768433548	4	PRON	PRON	r	PRON	PRP	11	11	1	704	1	49930.23889	我	45.333333333333336	8.666666666666666	56.949880499338086	32.42769735204082
5	6	1	喺	245.13333333333333	272.8855356290537	5	ADP	ADP	x	ADP	IN	10	3	4	1	1	2703.06199	喺	119.2	76.6	139.19683904457028	125.28091102265606
6	7	1	一	265.0	258.2851137793272	6	NUM	NUM	m	NUM	CD	9	1	5	871	1	4153.77843	一	115.2	61.4	89.62752553391917	75.3788652961381
7	8	1	本	316.7333333333333	208.7274033012649	7	NOUN	DET	r	DET		8	1	4	54	1	89.45325	本	185.8	70.86666666666666	117.06989365332149	102.91606072696116
8	9	1	書	304.6	252.59237254253475	8	NOUN	NOUN	zg	NOUN	NN	7	1	3	35	1	139.56364	書	160.26666666666668	88.93333333333334	169.94644908192566	140.2471469307744
9	10	1	入	195.6	182.63398734445167	9	VERB	NOUN	v	NOUN		6	2	2	83	1	557.4263	入	128.2	51.06666666666667	131.66178893918564	95.0918620189037
10	11	1	面	304.46666666666664	323.23796531691977	10	NOUN	NOUN	n	NOUN		5	1	3	96	1	398.81243	面	131.66666666666666	70.26666666666667	99.66454847247452	101.72804704483202
11	12	1	見	279.53333333333336	254.36610535909765	11	VERB	VERB	x	VERB	VV	4	4	1	44	1	2073.99027	見	134.33333333333334	110.6	128.15442074136794	137.81959222113522
12	13	1	過	207.0	182.839820608094	12	PART	PART	zg	PART	UH	3	1	2	299	1	1039.06581	過	112.66666666666669	53.8	79.49227775213276	71.9307073972352
13	14	1	幅	277.8	274.36185351952025	13	PROPN	DET	n	DET		2	2	2	7	1	15.73715	幅	129.4	91.66666666666669	112.08913120072496	162.88673638110896
14	15	1	好	314.1333333333333	218.3312060965073	14	ADV	ADV	a	ADV	RB	1	1	1	312	1	10788.64225	好	186.3333333333333	50.06666666666667	101.60817989818646	70.47029318955771
15	16	1	得人驚	491.26666666666665	256.0107983833668	15	ADJ	ADJ	-	ADJ		0	0	0	409	3	16.56542	得人驚	179.8	152.2	44.86602277893596	108.2787760058883
16	17	1	嘅	203.0	194.4955869250851	16	PART	PART	x	PART		1	1	2	1	1	15735.49004	嘅	161.2	41.8	152.9933331880837	86.73807314745547
17	18	1	圖畫。	208.3333333333333	206.83863812697624	17	NOUN	NOUN	n	NOUN	NN	2	2	1	65	2	1.24241	圖畫	108.0	70.6	122.78762152595024	109.42687055746408
18	19	2	嗰	151.33333333333334	97.89359302607886	0	PRON	PRON	x	PRON		11	1	3	1	1	2040.85943	嗰	139.06666666666666	12.266666666666667	80.45078550821545	45.897663944427
19	20	2	本	63.266666666666666	107.90024199334412	1	NOUN	DET	r	DET		10	1	2	54	1	89.45325	本	56.8	6.466666666666667	96.81473717019188	24.19605110113816
20	21	2	書	94.0	118.85958101894856	2	NOUN	NOUN	zg	NOUN	NN	9	9	1	35	1	139.56364	書	94.0	0.0	118.85958101894856	0.0
21	22	2	叫做	178.66666666666666	159.78847128486947	3	VERB	VERB	v	VERB	VV	8	8	1	104	2	104.36213	叫做	123.2	43.53333333333333	64.82098425664331	109.83980254089236
22	23	2	《真實故事》，	935.0666666666668	576.3213763941859	4	NOUN	NOUN	-	NOUN		5	1	2	207	4	0.0	真實故事	202.46666666666667	169.13333333333333	59.49662922291387	75.95162202934766
23	24	2	係	313.93333333333334	368.4621132340324	5	VERB	VERB	zg	VERB		0	0	0	6	1	22827.14525	係	121.06666666666666	60.8	128.66207245683898	100.7837288454838
24	25	2	關於	398.06666666666666	225.8266198264107	6	ADP	ADP	nr	ADP	IN	1	2	2	65	2	59.22137	關於	163.8	145.0	91.05617313870964	113.06694182356456
25	26	2	原始	547.2666666666667	314.9625303993406	7	ADV	ADJ	v	ADJ		2	1	2	55	2	9.11098	原始	221.4	186.8	79.11240947748547	151.06343038604678
26	27	2	森林	532.3333333333334	412.3494742192463	8	VERB	NOUN	n	NOUN		3	3	1	58	2	66.67581	森林	198.4	144.86666666666667	99.6679821540833	123.50917194911298
27	28	2	嘅。	124.53333333333332	164.68712423528711	9	PART	PART	x	PART		4	4	1	1	1	15735.49004	嘅	105.06666666666666	19.466666666666665	124.0771086417188	72.83759712919938
28	29	3	幅	181.9333333333333	253.9788617625928	0	NOUN	DET	n	DET	NNB	2	1	2	7	1	15.73715	幅	105.46666666666668	52.6	125.53770571248926	120.7922734835856
29	30	3	圖畫	277.2	216.8603851944072	1	NOUN	NOUN	n	NOUN	NN	1	1	1	65	2	1.24241	圖畫	146.73333333333332	72.33333333333333	103.81744661771556	88.67293210945992
30	31	3	入	136.93333333333334	148.9409129673763	2	VERB	NOUN	v	NOUN		0	0	0	83	1	557.4263	入	131.93333333333334	5.0	142.030732198665	18.708286933869708
31	32	3	邊	42.06666666666667	85.70450526210522	3	PRON	PRON	x	PRON		1	1	2	93	1	432.77153	邊	42.06666666666667	0.0	85.70450526210522	0.0
