	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
0	5177	282	「噉	CCONJ	CCONJ	zg	CCONJ	CC	2	1	2	3	121.33333333333331	283.4592661310537	1	0.41414	噉	38.86666666666667	48.86666666666667	81.01922954185355	143.95317139804715
1	5178	282	我	PRON	PRON	r	PRON	PRP	1	1	1	704	154.06666666666666	222.91387474887148	1	49930.23889	我	117.0	27.866666666666667	155.51034263568025	71.25715558610393
2	5179	282	諗	VERB	VERB	x	VERB		0	0	0	6	153.6	175.8089114161547	1	1926.55805	諗	118.8	17.8	123.04806648894028	46.055329043807006
3	5180	282	佢哋	PRON	PRON	-	PRON		1	2	2	2	176.0	239.95221746561683	2	0.0	佢哋	96.73333333333332	25.133333333333333	84.40415998173445	66.57814122434546
4	5181	282	要	AUX	AUX	v	AUX	MD	2	1	2	109	73.53333333333333	108.79758984258592	1	3311.42695	要	73.53333333333333	0.0	108.79758984258592	0.0
5	5182	282	疊羅漢	VERB	VERB	ns	VERB		3	3	1	15	262.6	167.32794148019633	3	0.0	疊羅漢	171.0	67.73333333333333	98.15430029635311	74.48800052506593
6	5183	282	噉	CCONJ	CCONJ	zg	CCONJ	CC	4	3	5	3	106.2	107.30156879872106	1	0.41414	噉	94.6	11.6	105.7114311068896	43.40322568657773
7	5184	282	一	NUM	NUM	m	NUM	CD	5	1	6	871	66.8	127.81976894570468	1	4153.77843	一	53.53333333333333	13.266666666666667	97.51913772292198	49.63932133120095
8	5185	282	隻	NOUN	DET	x	DET	NNB	6	1	5	1	56.73333333333333	107.73824246240927	1	2023.87988	隻	56.73333333333333	0.0	107.73824246240927	0.0
9	5186	282	疊	NOUN	VERB	x	VERB		7	2	4	3	100.0	120.64880162410786	1	22.77745	疊	100.0	0.0	120.64880162410786	0.0
10	5187	282	一	NUM	NUM	m	NUM	CD	8	1	4	871	10.2	38.16490534509421	1	4153.77843	一	10.2	0.0	38.16490534509421	0.0
11	5188	282	隻	NOUN	DET	x	DET	NNB	9	2	3	1	30.53333333333333	61.85883571128343	1	2023.87988	隻	30.53333333333333	0.0	61.85883571128343	0.0
12	5189	282	先	ADV	ADV	d	ADV	RB	10	1	3	158	87.73333333333333	115.8248486101128	1	1651.98626	先	87.73333333333333	0.0	115.8248486101128	0.0
13	5190	282	夠	VERB	VERB	x	VERB		11	8	2	41	81.93333333333334	134.18965020530538	1	64.19099	夠	81.93333333333334	0.0	134.18965020530538	0.0
14	5191	282	位	ADJ	DET	q	DET		12	1	4	27	87.86666666666666	133.09488678716733	1	197.5426	位	78.4	9.466666666666669	115.10215752394332	35.42102326145998
15	5192	282	喇	PART	PART	n	PART	SFN	13	2	3	24	43.0	72.57823365169477	1	2051.62695	喇	43.0	0.0	72.57823365169477	0.0
16	5193	283	。」不過	CCONJ	CCONJ	c	CCONJ		3	3	1	630	80.0	79.51855129465073	2	2318.74431	不過	74.53333333333333	5.466666666666667	71.88311500082773	20.45439371436421
17	5194	283	佢	PRON	PRON	x	PRON		2	2	1	1	90.46666666666668	105.87090671609876	1	21111.38214	佢	90.46666666666668	0.0	105.87090671609876	0.0
18	5195	283	又	ADV	ADV	d	ADV	RB	1	1	1	30	10.733333333333333	40.16045595137364	1	4585.30755	又	10.733333333333333	0.0	40.16045595137364	0.0
19	5196	283	頭頭是道	ADJ	ADJ	-	ADJ		0	0	0	232	268.8	189.48815266395945	4	1.24241	頭頭是道	164.26666666666668	92.8	72.64752041344717	116.0891611363151
